Filename,ASSAT,ASSAT_pi,ASSAT_pi_Act,ASSAT_pi_ActT,,,
 A-2-afinput_exp_acyclic_depvary_step6_batch_yyy05.apx,1.48,1.08,1.24,1.08,,,
 A-2-afinput_exp_cycles_depvary_step4_batch_yyy01.apx,0.31,0.57,0.58,0.53,,,
 A-2-afinput_exp_cycles_depvary_step4_batch_yyy03.apx,0.48,0.73,0.68,0.68,,,
 A-2-afinput_exp_cycles_indvary1_step1_batch_yyy04.apx,0.22,0.68,0.53,0.53,,,
 A-2-afinput_exp_cycles_indvary3_step1_batch_yyy04.apx,0.23,0.68,0.68,0.73,,,
 A-3-afinput_exp_acyclic_depvary_step5_batch_yyy01.apx,0.64,0.93,0.88,0.89,,,
 A-3-afinput_exp_acyclic_depvary_step6_batch_yyy04.apx,1.04,0.94,1.14,0.93,,,
 A-3-afinput_exp_acyclic_indvary2_step2_batch_yyy10.apx,2.27,2.72,2.46,2.15,,,
 A-3-afinput_exp_cycles_depvary_step4_batch_yyy05.apx,2.01,1.64,1.69,1.54,,,
 A-3-afinput_exp_cycles_indvary1_step1_batch_yyy02.apx,1.01,1.03,1.13,0.99,,,
 A-3-afinput_exp_cycles_indvary1_step1_batch_yyy03.apx,0.78,0.63,0.63,0.63,,,
 A-3-afinput_exp_cycles_indvary1_step1_batch_yyy09.apx,1.02,0.98,1.08,0.98,,,
 A-3-afinput_exp_cycles_indvary1_step2_batch_yyy01.apx,1.08,1.58,1.29,1.14,,,
 A-3-afinput_exp_cycles_indvary1_step3_batch_yyy02.apx,0.94,0.88,0.98,0.88,,,
 A-3-afinput_exp_cycles_indvary2_step1_batch_yyy03.apx,1.24,1.54,1.49,1.18,,,
 A-3-afinput_exp_cycles_indvary2_step1_batch_yyy04.apx,1.58,1.64,1.8,1.64,,,
 A-3-afinput_exp_cycles_indvary2_step1_batch_yyy10.apx,1.79,1.59,1.8,1.59,,,
 A-4-afinput_exp_acyclic_depvary_step7_batch_yyy08.apx,3.12,3.11,3.31,3.23,,,
 A-4-afinput_exp_acyclic_depvary_step8_batch_yyy09.apx,3.24,2.91,3.81,2.91,,,
 A-4-afinput_exp_acyclic_indvary1_step2_batch_yyy07.apx,3.22,3.87,3.83,3.42,,,
 B-1-afinput_exp_acyclic_depvary_step5_batch_yyy08.apx,0.45,0.42,0.37,0.42,,,
 B-2-afinput_exp_acyclic_depvary_step8_batch_yyy09.apx,3.42,2.86,3.58,2.86,,,
 B-2-afinput_exp_acyclic_indvary2_step2_batch_yyy10.apx,2.04,2.15,2.42,2.1,,,
 B-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.apx,2.31,2.05,2.2,2.1,,,
 B-2-afinput_exp_cycles_indvary2_step1_batch_yyy10.apx,1.23,1.64,1.65,1.59,,,
 B-3-afinput_exp_acyclic_depvary_step7_batch_yyy08.apx,3.12,3.11,4.23,3.16,,,
 C-2-afinput_exp_acyclic_depvary_step6_batch_yyy05.apx,1.43,0.98,1.23,1.04,,,
 C-2-afinput_exp_acyclic_indvary1_step2_batch_yyy07.apx,3.12,4.12,3.81,3.42,,,
 C-2-afinput_exp_cycles_depvary_step3_batch_yyy08.apx,1.21,1.39,1.34,1.34,,,
 C-2-afinput_exp_cycles_depvary_step4_batch_yyy05.apx,2.02,1.54,1.54,1.54,,,
 C-2-afinput_exp_cycles_indvary2_step1_batch_yyy01.apx,2.36,2.36,2.09,2.05,,,
 C-3-afinput_exp_acyclic_depvary_step7_batch_yyy08.apx,3.45,3.11,3.11,3.11,,,
 T-2-afinput_exp_acyclic_depvary_step5_batch_yyy03.apx,0.66,0.32,0.32,0.37,,,
 T-2-afinput_exp_cycles_depvary_step4_batch_yyy02.apx,0.78,0.68,0.68,0.73,,,
 T-2-afinput_exp_cycles_depvary_step4_batch_yyy03.apx,0.84,0.68,0.68,0.68,,,
 T-2-afinput_exp_cycles_indvary1_step1_batch_yyy07.apx,0.37,0.42,0.42,0.42,,,
