Filename,ASSAT,ASSAT_pi,ASSAT_pi_Act,ASSAT_pi_ActT,ASSAT_pi_ActT1,ASSAT_pi_ActT2,ASSAT_pi_ActT3
  a1210993_20150717_0403.gml.80.af,163.1,0.12,0.13,0.12,0.13,0.15,0.14
  admbuster_1000.af,0.01,0.01,0.01,0.01,0.01,0.01,0.01
  admbuster_10000.af,0.13,0.12,0.15,0.15,0.15,0.15,0.15
  admbuster_100000.af,1.41,1.33,1.62,1.63,1.66,1.63,1.63
  admbuster_1000000.af,16.57,16.25,18.11,17.91,18.17,18.23,18.22
  admbuster_1500000.af,23.31,23.53,26.28,26.37,26.24,26.14,26.14
  admbuster_2000.af,0.03,0.02,0.03,0.03,0.03,0.03,0.03
  admbuster_20000.af,0.26,0.25,0.31,0.3,0.3,0.3,0.29
  admbuster_200000.af,2.88,2.85,3.34,3.33,3.34,3.33,3.27
  admbuster_2000000.af,33,33.12,37.14,37.07,37.09,36.95,38.49
  admbuster_2500000.af,43.1,43.24,45.18,44.95,45.09,45.15,46.95
  admbuster_4000.af,0.06,0.06,0.06,0.06,0.06,0.06,0.06
  admbuster_50000.af,0.8,0.76,0.77,0.8,0.78,0.75,0.77
  admbuster_500000.af,8.88,8.98,8.98,8.98,9.03,8.96,8.95
  admbuster_6000.af,0.09,0.08,0.09,0.09,0.09,0.08,0.09
  admbuster_8000.af,0.12,0.12,0.12,0.12,0.12,0.12,0.12
  afinput_exp_acyclic_depvary_step5_batch_yyy01.af,1.07,1.07,1.06,1.07,1.08,1.06,1.07
  afinput_exp_acyclic_depvary_step5_batch_yyy07.af,0.04,0.04,0.04,0.04,0.04,0.04,0.04
  afinput_exp_acyclic_depvary_step5_batch_yyy08.af,0.5,0.5,0.49,0.49,0.5,0.49,0.5
  afinput_exp_acyclic_depvary_step6_batch_yyy07.af,0.2,0.2,0.2,0.2,0.2,0.19,0.2
  afinput_exp_acyclic_depvary_step6_batch_yyy08.af,0.05,0.05,0.05,0.05,0.05,0.05,0.05
  afinput_exp_acyclic_depvary_step6_batch_yyy09.af,0.09,0.09,0.09,0.09,0.09,0.09,0.09
  afinput_exp_acyclic_depvary_step6_batch_yyy10.af,0.03,0.03,0.03,0.03,0.03,0.03,0.03
  afinput_exp_acyclic_depvary_step7_batch_yyy02.af,0.02,0.02,0.02,0.02,0.02,0.02,0.02
  afinput_exp_acyclic_depvary_step7_batch_yyy08.af,5.39,5.33,4.72,5.81,4.95,4.06,5.16
  afinput_exp_acyclic_depvary_step8_batch_yyy03.af,0.21,0.21,0.21,0.21,0.21,0.21,0.21
  afinput_exp_acyclic_depvary_step8_batch_yyy07.af,0.02,0.02,0.02,0.02,0.02,0.02,0.02
  afinput_exp_acyclic_depvary_step8_batch_yyy09.af,3.99,3.86,3.71,3.91,3.39,3.54,3.61
  afinput_exp_acyclic_depvary_step8_batch_yyy10.af,0.08,0.08,0.08,0.08,0.08,0.08,0.08
  afinput_exp_acyclic_indvary2_step1_batch_yyy04.af,0.06,0.06,0.06,0.06,0.06,0.06,0.06
  afinput_exp_acyclic_indvary2_step2_batch_yyy02.af,13.29,13.37,14.24,13.22,10.45,13.92,13.76
  afinput_exp_acyclic_indvary2_step2_batch_yyy10.af,2.89,2.88,2.73,2.66,2.64,2.62,2.77
  afinput_exp_cycles_depvary_step3_batch_yyy02.af,0.24,0.24,0.24,0.25,0.24,0.24,0.24
  afinput_exp_cycles_depvary_step3_batch_yyy10.af,0.25,0.25,0.25,0.25,0.24,0.25,0.25
  afinput_exp_cycles_depvary_step4_batch_yyy04.af,1.48,1.47,1.44,1.45,1.44,1.45,1.46
  afinput_exp_cycles_indvary1_step1_batch_yyy07.af,0.53,0.54,0.53,0.53,0.52,0.53,0.53
  afinput_exp_cycles_indvary1_step3_batch_yyy05.af,0.2,0.2,0.2,0.2,0.19,0.2,0.2
  afinput_exp_cycles_indvary1_step4_batch_yyy03.af,0.04,0.04,0.04,0.04,0.04,0.04,0.04
  afinput_exp_cycles_indvary2_step1_batch_yyy01.af,2.69,2.63,2.61,2.59,2.53,2.64,2.64
  afinput_exp_cycles_indvary2_step1_batch_yyy06.af,6.89,6.72,6.49,7.03,7.07,4.97,7.46
  afinput_exp_cycles_indvary2_step1_batch_yyy09.af,0.26,0.26,0.25,0.26,0.26,0.26,0.25
  BA_100_0_4.af,0,0,0,0,0,0,0
  BA_100_60_1.af,0.01,0,0,0,0,0,0
  BA_100_80_5.af,0.01,0,0,0,0,0,0
  BA_100_90_1.af,0.01,0,0,0,0,0,0
  BA_120_10_2.af,0,0,0,0,0,0,0
  BA_120_20_1.af,0,0,0,0,0,0,0
  BA_120_20_2.af,0,0,0,0,0,0,0
  BA_140_0_5.af,0,0,0,0,0,0,0
  BA_140_20_4.af,0.01,0,0,0,0,0,0
  BA_140_80_2.af,0.02,0,0,0,0,0,0
  BA_140_90_5.af,0.03,0,0,0,0,0,0
  BA_160_0_2.af,0,0,0,0,0,0,0
  BA_160_20_3.af,0.01,0,0,0,0,0,0
